Household_Key,Retail,Coupon_Match,Coupon,Total_Sales
1,-330.29,-9.75,-27.75,1727.83
2,-173.55,0,-5,880.12
3,-509.19,-19.8,-61.19,1889.32
4,-90.69,0,-2.5,928.03
5,-88.29,0,0,495.11
6,-313.74,-0.45,-0.55,2453.06
7,-105.47,-0.75,-6,804.59
8,-365.78,-0.5,-14,1864.88
9,-17.08,0,0,109.73
10,-9.85,0,0,133.98
11,-4.68,0,0,23.34
12,-12.32,0,0,116.03
13,-626.55,-22.05,-130.09,5158.62
14,-183.69,0,-3.5,781.59
15,-53.73,0,0,281.42
16,-114.94,0,0,1047.1
17,-565.69,0,-75,3167.26
18,-397.94,-5.3,-18.5,2411.32
19,-963.41,0,0,2976.69
20,-233.83,-7.35,-14.35,1824.55
21,-9.37,0,0,143.98
22,-301.03,-3.05,-12.15,2420.01
23,-143.06,0,0,1838.67
24,-302.58,0,0,1191.74
25,-226.03,0,-21,1144.48
26,-157.75,0,0,925.54
27,-105.99,-0.94,-2.05,1220.34
28,-106.21,0,0,819.69
29,-246.78,0,-2.99,964.85
30,-62.6,0,-3,337.12
31,-116.45,-23.54,-47.13,590.14
32,-150.17,-0.45,-0.55,1571.86
33,-179.62,0,0,576.05
34,-23.43,0,0,114.69
35,-51.29,0,-1,428.64
36,-218.26,0,0,1379.8
37,-217.43,0,0,871.22
38,-39.23,0,-2.5,465.58
39,-453.88,-2.05,-3.35,2792.23
40,-461.36,0,-7,4463.65
41,-150.88,0,0,783.35
42,-232.94,-5.3,-8.75,831.6
43,-43.2,-0.85,-3.35,383.78
44,-59.99,0,0,392.98
45,-38.68,0,0,549.46
46,-439.19,0,-2,2211.83
47,-99.85,0,0,827.12
48,-18.04,0,0,251.44
49,-278.2,-0.25,-1.75,1730.69
50,-10.06,0,0,135.19
51,-103.78,-0.45,-0.55,1162.67
52,-212.14,0,-1,1753.27
53,-134.34,-1.5,-1.5,672.67
54,-7.56,0,0,56.72
55,-82.04,0,0,553.94
56,-398.78,-7.4,-16.43,2307.44
57,-281.46,-0.45,-5.84,1681.46
58,-623.37,-9,-42.25,4165.7
59,-86.9,-1.25,-1.45,591.27
60,-36.37,0,0,296.78
61,-51.01,0,0,138.67
62,-15.68,0,0,79.75
63,-38.68,0,0,302.61
64,-127.18,-0.45,-0.55,1028.41
65,-95.05,0,0,847.62
66,-60.77,0,0,292.22
67,-727.42,-18.94,-71.45,3354.04
68,-295.76,-1.05,-11.92,1476.29
69,-425.88,0,0,2149.27
70,-7.93,0,0,48.86
71,-230.17,0,-25.5,1764.76
72,-476.27,0,-11.99,2483.29
73,-108.7,0,-0.55,1095.84
74,-452.51,-0.75,-9.25,1075
75,-83.33,0,-5.5,242.31
76,-44.8,0,0,134.07
77,-553.03,-1.9,-14.5,2945.84
78,-107.81,0,0,612.44
79,-214.72,-3.25,-13.14,992.78
80,-240.93,0,-11.9,833.48
81,-896.81,0,-4.99,4413.08
82,-45.22,0,0,308.28
83,-112.21,0,0,666.37
84,-57.96,-0.45,-0.55,311.49
85,-486.75,-0.45,-3.05,2487.63
86,-211.67,0,0,1799.8
87,-10,0,-3,209.87
88,-857.22,-6.2,-38.2,4487.49
89,-5.28,0,0,33.21
90,-30,0,0,216.01
91,-100.06,0,0,457.38
92,-127.83,0,0,450.84
93,-376.47,-7.14,-76.18,1906.12
94,-49.64,0,-1.5,128.63
95,-832.78,-0.25,-15.26,2307.49
96,-145.51,0,0,1022.29
97,-457.08,-0.35,-0.35,2096.22
98,-72.52,0,0,475.21
99,-594.07,-2.05,-28.45,3467.41
100,-163.57,0,-2.5,704.63
101,-544.98,-0.35,-0.35,2001.16
102,-53.16,0,-2.5,304.84
103,-64.73,0,0,335.05
104,-365.17,-7.35,-19.85,1355.61
105,-703.21,-4.95,-5.15,2346.76
106,-22.97,0,0,302.35
107,-125.72,0,0,1045.38
108,-218.05,0,-1.5,1627.87
109,-146.02,0,0,1081.59
110,-304.18,-0.25,-1.25,1694.42
111,-199.55,-2.6,-9.89,814.41
112,-32.85,0,0,388.18
113,-896.37,-9.15,-34.1,6193.9
114,-288.56,0,0,1620.18
115,-580.21,0,-7.49,4549.82
116,-110,-0.4,-2.9,264.31
117,-223.74,-3.2,-6.8,1103.16
118,-202.35,0,-1,1781.92
119,-45.08,0,-6.24,521.18
120,-4.16,0,0,122.37
121,-108.53,0,-3.5,649.99
122,-578.91,-0.75,-6.54,1884.36
123,-341.07,0,-1,1667.65
124,-107.33,-3.4,-3.8,361.38
125,-745.35,-5.8,-50.69,4943.67
126,-79.86,0,0,406.31
127,-240.61,-10.6,-16.9,716.08
128,-32.6,0,0,196.87
129,-16.21,0,-1,105.96
130,-55.72,0,0,477.47
131,-569.48,-1.05,-21.05,3255.34
132,-255.45,0,0,1385.69
133,-334.46,-0.8,-7.9,1365.48
134,-534,-0.5,-3,2421.44
135,-54.73,-0.25,-1.75,286.35
136,-164.43,0,0,992.77
137,-247.61,-0.8,-11.7,880.62
138,-268.1,-0.7,-10.7,1214.93
139,-142.83,-0.45,-15.53,657.85
140,-192.5,0,-2.69,1092.73
141,-33.07,0,0,205.97
142,-193.04,0,0,1236.89
143,-611.22,-6.05,-39.68,2811.43
144,-257.48,0,0,1189.06
145,-129.45,0,-2,565.87
146,-120.73,0,0,397.5
147,-411.94,0,-2.05,980.45
148,-40.63,-0.45,-0.55,377.21
149,-636.61,0,0,5543.64
150,-44.81,0,0,206.78
151,-271.32,-3.65,-15.39,943.24
152,-279.81,-1.35,-8.94,679.64
153,-122.76,0,-5.48,574.72
154,-100.08,0,0,544.85
155,-156.88,0,-2,989.01
156,-478.69,-2.65,-13.5,3059.72
157,-199.54,-0.25,-0.25,1153.76
158,-164.3,-12.4,-66.4,699.69
159,-140.18,0,0,646.13
160,-103.74,0,-1,580.24
161,-259.52,0,-1,1252.24
162,-118.78,0,0,1135.15
163,-29.92,0,-2.5,241.57
164,-309.88,-1.3,-2.7,1213.09
165,-414.51,-0.25,-1.75,1254.17
