InvoiceNo,StockCode,CHOCOLATE THIS WAY METAL SIGN,Quantity,UnitPrice,CustomerID,Country
536382,21832,CHOCOLATE THIS WAY METAL SIGN,12,1.65,16098,United Kingdom
536394,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,13408,United Kingdom
536398,22112,CHOCOLATE THIS WAY METAL SIGN,9,4.95,13448,United Kingdom
536404,85049G,CHOCOLATE THIS WAY METAL SIGN,12,1.25,16218,United Kingdom
536408,21832,CHOCOLATE THIS WAY METAL SIGN,12,1.65,14307,United Kingdom
536409,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17908,United Kingdom
536520,21292,CHOCOLATE THIS WAY METAL SIGN,16,0.85,14729,United Kingdom
536520,21111,CHOCOLATE THIS WAY METAL SIGN,1,2.95,14729,United Kingdom
536522,85035B,CHOCOLATE THIS WAY METAL SIGN,1,4.25,15012,United Kingdom
536524,21111,CHOCOLATE THIS WAY METAL SIGN,6,2.95,17572,United Kingdom
536524,21106,CHOCOLATE THIS WAY METAL SIGN,6,2.95,17572,United Kingdom
536532,85152,CHOCOLATE THIS WAY METAL SIGN,24,2.1,12433,Norway
536534,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,15350,United Kingdom
536539,72741,CHOCOLATE THIS WAY METAL SIGN,18,1.45,15165,United Kingdom
536544,22112,CHOCOLATE THIS WAY METAL SIGN,2,11.02,,United Kingdom
536544,85049G,CHOCOLATE THIS WAY METAL SIGN,1,2.51,,United Kingdom
536544,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
536551,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17346,United Kingdom
536551,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17346,United Kingdom
536557,22112,CHOCOLATE THIS WAY METAL SIGN,2,4.95,17841,United Kingdom
536558,22802,CHOCOLATE THIS WAY METAL SIGN,5,19.95,,United Kingdom
536562,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,13468,United Kingdom
536576,85038,CHOCOLATE THIS WAY METAL SIGN,72,1.69,13777,United Kingdom
536586,22725,CHOCOLATE THIS WAY METAL SIGN,4,3.75,18229,United Kingdom
536590,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,13065,United Kingdom
536591,72741,CHOCOLATE THIS WAY METAL SIGN,27,1.45,14606,United Kingdom
536592,21109,CHOCOLATE THIS WAY METAL SIGN,1,13.57,,United Kingdom
536592,21111,CHOCOLATE THIS WAY METAL SIGN,2,5.91,,United Kingdom
536592,21288,CHOCOLATE THIS WAY METAL SIGN,1,5.91,,United Kingdom
536592,21832,CHOCOLATE THIS WAY METAL SIGN,3,3.36,,United Kingdom
536592,21908,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
536592,22112,CHOCOLATE THIS WAY METAL SIGN,3,11.02,,United Kingdom
536592,72741,CHOCOLATE THIS WAY METAL SIGN,3,2.82,,United Kingdom
536592,85049G,CHOCOLATE THIS WAY METAL SIGN,1,2.51,,United Kingdom
536596,22802,CHOCOLATE THIS WAY METAL SIGN,1,19.95,,United Kingdom
536597,21709,CHOCOLATE THIS WAY METAL SIGN,1,4.95,18011,United Kingdom
536604,72741,CHOCOLATE THIS WAY METAL SIGN,18,1.45,14741,United Kingdom
536617,72741,CHOCOLATE THIS WAY METAL SIGN,144,1.25,13941,United Kingdom
536620,85049G,CHOCOLATE THIS WAY METAL SIGN,12,1.25,14135,United Kingdom
536624,22725,CHOCOLATE THIS WAY METAL SIGN,8,3.75,13418,United Kingdom
536635,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,15955,United Kingdom
536635,22112,CHOCOLATE THIS WAY METAL SIGN,12,4.95,15955,United Kingdom
536638,72741,CHOCOLATE THIS WAY METAL SIGN,18,1.45,16244,United Kingdom
536639,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,15111,United Kingdom
536643,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,14390,United Kingdom
536672,21288,CHOCOLATE THIS WAY METAL SIGN,6,2.95,14491,United Kingdom
536674,85038,CHOCOLATE THIS WAY METAL SIGN,7,2.1,15923,United Kingdom
536747,85049G,CHOCOLATE THIS WAY METAL SIGN,3,1.25,17802,United Kingdom
536793,22725,CHOCOLATE THIS WAY METAL SIGN,4,3.75,16203,United Kingdom
536798,21908,CHOCOLATE THIS WAY METAL SIGN,12,2.1,17838,United Kingdom
536805,21908,CHOCOLATE THIS WAY METAL SIGN,24,2.1,14775,United Kingdom
536805,85152,CHOCOLATE THIS WAY METAL SIGN,24,2.1,14775,United Kingdom
536819,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,13402,United Kingdom
536834,21111,CHOCOLATE THIS WAY METAL SIGN,12,2.95,14576,United Kingdom
536837,22112,CHOCOLATE THIS WAY METAL SIGN,7,4.95,14395,United Kingdom
536857,22802,CHOCOLATE THIS WAY METAL SIGN,1,19.95,16883,United Kingdom
536857,85049G,CHOCOLATE THIS WAY METAL SIGN,4,1.25,16883,United Kingdom
536862,21908,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
536862,85038,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
536865,21109,CHOCOLATE THIS WAY METAL SIGN,1,13.57,,United Kingdom
536865,72741,CHOCOLATE THIS WAY METAL SIGN,3,2.82,,United Kingdom
536865,85036b,CHOCOLATE THIS WAY METAL SIGN,1,8.47,,United Kingdom
536865,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
536876,22112,CHOCOLATE THIS WAY METAL SIGN,3,11.02,,United Kingdom
536876,85038,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
536876,21111,CHOCOLATE THIS WAY METAL SIGN,2,5.91,,United Kingdom
536885,21832,CHOCOLATE THIS WAY METAL SIGN,24,1.65,,EIRE
536920,85049G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,,United Kingdom
536938,22112,CHOCOLATE THIS WAY METAL SIGN,72,4.25,14680,United Kingdom
