"","groupName","activeTouch","timeStamp","C"
"1","A",0,"6/2/16 2:17",0
"2","A",0,"6/2/16 3:03",0
"3","A",1,"6/2/16 3:18",0
"4","B",0,"6/2/16 3:23",1
"5","A",0,"6/2/16 4:04",0
"6","A",0,"6/2/16 4:34",0
"7","B",0,"6/2/16 6:56",0
"8","B",0,"6/2/16 7:19",0
"9","B",0,"6/2/16 7:34",0
"10","A",0,"6/2/16 8:26",0
"11","B",0,"6/2/16 8:58",0
"12","A",0,"6/2/16 9:09",0
"13","A",0,"6/2/16 9:17",0
"14","A",0,"6/2/16 9:26",0
"15","B",0,"6/2/16 9:36",0
"16","B",0,"6/2/16 9:45",0
"17","A",0,"6/2/16 9:51",0
"18","A",0,"6/2/16 9:58",0
"19","B",0,"6/2/16 9:59",0
"20","B",0,"6/2/16 10:04",0
"21","A",0,"6/2/16 10:19",0
"22","B",0,"6/2/16 10:20",0
"23","B",0,"6/2/16 10:23",1
"24","A",0,"6/2/16 10:27",0
"25","A",0,"6/2/16 10:28",1
"26","B",0,"6/2/16 10:29",0
"27","B",0,"6/2/16 10:29",0
"28","A",0,"6/2/16 10:40",0
"29","A",0,"6/2/16 10:59",0
"30","B",0,"6/2/16 11:00",0
"31","B",0,"6/2/16 11:05",0
"32","A",0,"6/2/16 11:35",0
"33","A",0,"6/2/16 11:44",0
"34","A",0,"6/2/16 11:45",0
"35","B",0,"6/2/16 11:47",0
"36","A",0,"6/2/16 12:02",0
"37","B",0,"6/2/16 12:07",0
"38","B",0,"6/2/16 12:12",0
"39","A",0,"6/2/16 12:44",1
"40","B",1,"6/2/16 12:49",0
"41","A",0,"6/2/16 12:55",0
"42","A",0,"6/2/16 12:56",0
"43","B",0,"6/2/16 13:02",0
"44","A",0,"6/2/16 13:02",0
"45","B",0,"6/2/16 13:03",0
"46","B",0,"6/2/16 13:30",0
"47","B",1,"6/2/16 13:32",0
"48","A",0,"6/2/16 13:33",0
"49","B",0,"6/2/16 13:43",1
"50","A",0,"6/2/16 13:54",0
"51","A",0,"6/2/16 13:57",0
"52","B",0,"6/2/16 14:06",0
"53","B",0,"6/2/16 14:22",0
"54","A",0,"6/2/16 14:26",0
