"","x"
"1",3.04294950608164
"2",13.5233953812402
"3",4.2043646927923
"4",32.3252790160199
"5",16.7618650432565
"6",18.0663638852426
"7",21.9859960645271
"8",11.3759240634684
"9",12.721907911066
"10",2.74896871950477
"11",3.15157314157113
"12",1.43151574855346
"13",0.385654889512807
"14",4.61041704844683
"15",16.8320397661184
"16",2.36754687948746
"17",36.0629297680875
"18",1.50901715364307
"19",1.29048411548138
"20",1.1822938772557
"21",12.7240281522884
"22",24.4027362920177
"23",0.978468525178715
"24",5.12329041073099
"25",19.4378076463771
"26",6.0759473964572
"27",6.91797840793758
"28",2.38747887779027
"29",2.20181194413453
"30",2.78898785890476
"31",3.42976253153756
"32",34.9130918420574
"33",10.4701407745046
"34",5.06763253267854
"35",36.347181564888
"36",31.0779416024463
"37",15.4718567962146
"38",14.753834574415
"39",1.99648401187733
"40",34.1844336874505
"41",3.24229860302842
"42",7.74739050708305
"43",13.8403094421961
"44",4.17236643796787
"45",33.7668545134088
"46",2.52099202992395
"47",0.643245264769519
"48",11.6855017026831
"49",2.19279109686613
"50",5.79973586741835
"51",18.2134282152989
"52",10.9552666857783
"53",3.65876643173397
"54",6.50074219852131
"55",1.93945380549487
"56",0.436240525916219
"57",4.48808660564537
"58",4.98675224650651
"59",8.29452851097475
"60",6.68454148489427
"61",10.8799241637756
"62",18.1681520242133
"63",6.67434717956375
"64",23.8628553941679
"65",21.3049811169338
"66",22.2250036402139
"67",9.81478504434761
"68",13.3944581076506
"69",11.7965041516293
"70",15.428110251619
"71",1.34486389998347
"72",0.0672005214728415
"73",9.37314099875598
"74",8.08858687444981
"75",0.994844399392605
"76",3.43778213532642
"77",4.04221240058541
"78",17.525932933379
"79",5.16991640254855
"80",3.65496326333612
"81",6.72191096907222
"82",11.4894588697646
"83",6.83786146398078
"84",6.00404432555661
"85",17.8329963117727
"86",10.346050299326
"87",2.92026412161067
"88",3.66582480724901
"89",0.752550828637967
"90",12.3059268226792
"91",34.2853202856799
"92",0.787522275653902
"93",13.4055176779517
"94",4.10194180486724
"95",7.3842428303942
"96",3.71279145637527
"97",0.0859179590544046
"98",10.2480764543582
"99",47.7
"100",25
"101",11.35
"102",7
"103",4.68
"104",3.02
"105",1.34
"106",0.72
"107",0.49
"108",0.31
"109",0.2
