HomeID,Submarket,City,YearBuilt,Rehab1,Rehab2,Rehab3,Quantity,AreaPerUnit,Level,Neighborhood,Status,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
1,15,2,2016,NA,NA,NA,184,785,5,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628,1621,1625,1611,1600,1603,1595,1581,1548,1548,1555,1558,1562,1568,1553,1554,1579,1421,1450,1476,1498,1406,1419,1445,1424,1417,1389,1412,1409,1413,1482,1427,1404,1457,1474,1420,1382,1465,1463,1460,1475,1478
2,15,2,2015,NA,NA,NA,331,805,5,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1485,1531,1524,1519,1532,1535,1535,1527,1527,1534,1540,1542,1545,1554,1555,1567,1567,1574,1589,1580,1570,1599,1516,1606,1577,1597,1506,1383,1394,1418,1418,1452,1505,1545,1602,1620,1622,1562,1458,1433,1482,1479,1465,1483,1515,1498,1585,1636,1600,1612,1558,1540,1527,1528
3,15,2,2010,NA,NA,NA,196,873,4,NA,S,NA,NA,NA,NA,NA,1347,1345,1343,1341,1280,1218,1264,1264,1308,1308,1174,1105,1225,1212,1285,1130,1018,1100,1145,1155,1126,1150,1180,1249,1310,1307,1245,1238,1231,1239,1195,1151,1221,1262,1254,1283,1292,1287,1303,1275,1325,1162,1116,1102,1112,1121,1137,1157,1157,1229,1227,1248,1300,1218,1269,1230,1254,1293,1369,1399,1386,1329,1341,1320,1285,1382,1387,1355,1400,1378,1330,1445,1467,1455,1425,1385,1337,1345,1290,1304,1346,1357,1391,1390,1407,1378,1282,1314,1304,1247,1222,1246,1351,1317,1331,1351,1417,1412,1401,1393,1388,1396,1384,1363,1364,1392,1369,1389,1447,1427,1452,1407,1424,1427,1427
4,15,2,2013,NA,NA,NA,206,909,4,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176,1176,1176,1176,1176,1176,1176,1176,1245,1263,1301,1303,1351,1351,1407,1386,1388,1388,1263,1230,1199,1193,1200,1296,1337,1391,1402,1360,1371,1389,1315,1325,1314,1301,1316,1394,1445,1485,1420,1388,1375,1347,1454,1431,1387,1424,1405,1392,1477,1539,1538,1469,1439,1385,1383,1344,1298,1387,1395,1444,1466,1428,1385,1365,1497,1411,1296,1289,1301,1387,1350,1391,1451,1509,1479,1442,1415,1387,1403,1429,1409,1415,1448,1437,1464,1507,1489,1532,1406,1432,1443,1455
5,8,21,2e3,NA,NA,NA,201,813,3,NA,S,722,581,581,620,625,539,542,536,534,549,556,561,603,603,631,639,709,662,670,678,697,678,644,602,614,641,641,724,748,630,671,706,757,735,776,698,742,673,658,658,658,658,671,671,731,731,731,760,760,760,760,758,758,737,758,762,758,758,758,758,758,758,758,731,744,744,744,758,758,758,747,758,761,761,761,761,761,761,761,761,761,761,747,749,751,753,753,753,753,753,753,753,753,753,753,753,773,783,763,763,785,775,767,767,783,812,788,788,804,828,824,824,803,820,820,819,813,819,816,823
6,3,2,1986,2016,NA,NA,214,806,3,NA,S,538,549,573,531,536,590,559,534,544,549,549,587,564,560,575,575,597,597,594,607,558,565,593,592,596,624,623,668,692,657,650,628,668,656,633,614,603,643,683,739,735,669,669,698,712,669,685,656,636,660,683,717,718,695,665,702,755,755,740,759,740,706,772,785,833,778,810,838,900,819,783,832,866,853,820,905,895,862,824,827,862,885,855,939,952,881,862,893,961,979,910,862,918,941,921,832,900,927,971,945,924,973,899,975,953,917,990,929,840,969,892,871,918,891,891,834,940,985,859,913
7,13,2,1965,NA,NA,NA,163,680,1,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,471,464,456,449,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,584,584,584,580,576,572,576,580,584,589,595,601,612,623,634,645,652,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,698,698,698,698,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823,823,823,825,825,825,825,825,844,845,839,845,845,845,845
8,10,2,2018,NA,NA,NA,48,607,4,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110,1106,1099,1099,1099,1126,1126,1126,1126,1129,1190,1185,1199,1199,1173,1239,1139,1139,1239,1239
9,9,2,2018,NA,NA,NA,64,1178,6,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085,2388,2196,2065,1927,1927,1971,2059,2059,1885,1885,2089,1918,1901,1913
10,9,2,2016,NA,NA,NA,273,845,5,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382,1427,1450,1450,1450,1469,1456,1453,1464,1483,1454,1475,1482,1482,1482,1482,1482,1482,1453,1453,1453,1402,1406,1323,1332,1299,1316,1320,1398,1398,1369,1331,1331,1405,1345,1307,1307,1307,1425,1378,1378,1378,1378,1454,1454
11,8,21,2005,NA,NA,NA,190,1082,3,NA,S,877,857,931,931,931,954,933,927,992,833,945,917,918,903,902,909,927,952,967,975,990,964,965,957,979,1005,1062,1039,1066,994,985,985,1016,1041,1041,1046,1046,1016,998,996,1037,1038,1045,1078,1159,1139,1146,1147,1101,1041,969,1003,998,1021,1023,1026,1062,1062,1131,1125,1032,1042,1011,1e3,1017,1050,1047,1035,1041,1084,1031,1020,1078,1098,1067,1050,1051,1036,1050,1098,1141,1108,1112,1132,1109,1100,1068,1118,1090,1051,1072,1053,1082,1101,1093,1053,1028,1066,1070,1057,1053,1103,1107,1104,1154,1135,1136,1150,1140,1138,1155,1165,1155,1187,1203,1249,1223,1239,1198,1242
