"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
102001,2019-02-28,"United States",,0,226300,0.00310283687943262,0.0143433437920215,0.0720037896731407,0.0652219867965711,0.027220895371745,"2019-02","2019-Q1",226300,0,"2019-02"
394913,2019-02-28,"New York, NY","NY",1,440400,0.00341763499658236,0.0105553005966039,0.0470756062767475,0.0451771790581337,0.0127222850036564,"2006-07","2006-Q3",452800,-0.0273851590106007,"2006-01"
753899,2019-02-28,"Los Angeles-Long Beach-Anaheim, CA","CA",2,652200,-0.000766048720698636,0.00122812404052809,0.0246661429693637,0.0617757442347799,0.0409973051738652,"2019-01","2019-Q1",652700,-0.000766048720698636,"2018-12"
394463,2019-02-28,"Chicago, IL","IL",3,225300,0.00222419928825623,0.0103139013452915,0.0349104271933854,0.0512277438028568,0.00380687075529784,"2007-02","2007-Q1",254100,-0.113341204250295,"2004-12"
394514,2019-02-28,"Dallas-Fort Worth, TX","TX",4,244400,0.00576131687242798,0.0251677852348993,0.0999099909990999,0.105373957953503,0.05373950933941,"2019-02","2019-Q1",244400,0,"2019-02"
394974,2019-02-28,"Philadelphia, PA","PA",5,233500,0.00300687285223368,0.00994809688581315,0.0350177304964539,0.0385107732938124,0.00643162939992159,"2007-05","2007-Q2",237300,-0.0160134850400337,"2006-05"
394692,2019-02-28,"Houston, TX","TX",6,206300,0.00291686922702965,0.0142576204523107,0.0628541988665636,0.0741046070799993,0.0382030483537421,"2019-02","2019-Q1",206300,0,"2019-02"
395209,2019-02-28,"Washington, DC","DC",7,406800,0.00221729490022173,0.00842835894893406,0.0288315629742033,0.0291855031408175,0.0188812884891802,"2006-04","2006-Q2",435400,-0.065686724850712,"2005-06"
394856,2019-02-28,"Miami-Fort Lauderdale, FL","FL",8,284700,0.00281789362451567,0.0124466571834993,0.0666916448107906,0.107462631249538,0.0418748410669103,"2006-09","2006-Q3",311600,-0.0863286264441592,"2005-12"
394347,2019-02-28,"Atlanta, GA","GA",9,218600,0.00367309458218549,0.0172173103769195,0.110772357723577,0.091966966496086,0.0304181843330733,"2019-02","2019-Q1",218600,0,"2019-02"
394404,2019-02-28,"Boston, MA","MA",10,468100,0.00450643776824034,0.0147409494905701,0.0530933633295838,0.0622516353565503,0.037255234691252,"2019-02","2019-Q1",468100,0,"2019-02"
395057,2019-02-28,"San Francisco, CA","CA",11,955200,-0.00292275574112735,-0.00820267884954833,0.0353349230435725,0.0776540162488513,0.0571951383045166,"2018-11","2018-Q4",963100,-0.00820267884954833,"2018-09"
394532,2019-02-28,"Detroit, MI","MI",12,161300,0.00561097256857855,0.0163831127914304,0.0818242790073776,0.0988058916081664,0.0424837018195352,"2019-02","2019-Q1",161300,0,"2019-02"
395025,2019-02-28,"Riverside, CA","CA",13,368300,0.00326886406973577,0.0129262926292629,0.0519851471008283,0.0732009736959942,0.048573096105341,"2006-07","2006-Q3",409800,-0.101268911664226,"2005-07"
394976,2019-02-28,"Phoenix, AZ","AZ",14,266300,0.00339110776186888,0.0144761904761905,0.070767993566546,0.0731476423590385,0.0400594105788201,"2006-05","2006-Q2",284000,-0.0623239436619718,"2005-11"
395078,2019-02-28,"Seattle, WA","WA",15,491500,0,0.00655334835142331,0.030398322851153,0.0994118637801615,0.0414009341509747,"2019-02","2019-Q1",491500,0,"2019-02"
394865,2019-02-28,"Minneapolis-St Paul, MN","MN",16,269200,0.0029806259314456,0.0139359698681733,0.0598425196850394,0.063578999775953,0.0286776424144448,"2019-02","2019-Q1",269200,0,"2019-02"
395056,2019-02-28,"San Diego, CA","CA",17,590500,-0.00219668807029402,-0.00404790015179626,0.020566885585897,0.0593075703775834,0.0436463590888496,"2018-12","2018-Q4",593100,-0.00438374641713033,"2018-09"
395121,2019-02-28,"St. Louis, MO","MO",18,167100,0.0011983223487118,0.00844900422450211,0.0542586750788644,0.0487648782720225,0.0111241553572028,"2019-02","2019-Q1",167100,0,"2019-02"
395148,2019-02-28,"Tampa, FL","FL",19,213800,0.0023441162681669,0.0123106060606061,0.0776209677419355,0.105813366594127,0.0374677335877212,"2006-08","2006-Q3",223500,-0.0434004474272931,"2006-03"
394358,2019-02-28,"Baltimore, MD","MD",20,268500,0.00223964165733483,0.00411368735976066,0.0315021129466001,0.0302763517681148,0.00337658076065761,"2007-01","2007-Q1",298500,-0.100502512562814,"2005-08"
394530,2019-02-28,"Denver, CO","CO",21,407500,0.00196705188099336,0.00916295195641407,0.0451397794306232,0.0982911561860982,0.0608637394848639,"2019-02","2019-Q1",407500,0,"2019-02"
394982,2019-02-28,"Pittsburgh, PA","PA",22,144400,0.0013869625520111,0.00557103064066852,0.0517115804806992,0.048781423279781,0.0278649490853187,"2019-02","2019-Q1",144400,0,"2019-02"
394998,2019-02-28,"Portland, OR","OR",23,397500,0.00125944584382872,0.00888324873096447,0.0378590078328982,0.0909710686949277,0.0426058645437015,"2019-02","2019-Q1",397500,0,"2019-02"
394458,2019-02-28,"Charlotte, NC","NC",24,207600,0.00532687651331719,0.0201474201474201,0.0978318350079323,0.0796778254254786,0.0326192996077492,"2019-02","2019-Q1",207600,0,"2019-02"
