"","X1","Month","Sales","Customers"
"1",1,"1-01",266,221.170065272481
"2",2,"1-02",145.9,243.846694255245
"3",3,"1-03",183.1,524.360414814721
"4",4,"1-04",119.3,525.201559706604
"5",5,"1-05",180.3,491.932102961278
"6",6,"1-06",168.5,724.41186102873
"7",7,"1-07",231.8,457.31080511184
"8",8,"1-08",224.5,443.175724369558
"9",9,"1-09",192.8,411.284657374594
"10",10,"1-10",122.9,357.778121278895
"11",11,"1-11",336.5,250.25986381798
"12",12,"1-12",185.9,425.767259023358
"13",13,"2-01",194.3,423.608843361901
"14",14,"2-02",149.5,370.240053379806
"15",15,"2-03",210.1,206.869789867371
"16",16,"2-04",273.3,703.045259726632
"17",17,"2-05",191.4,476.544529623745
"18",18,"2-06",287,251.876997783264
"19",19,"2-07",226,481.264224685463
"20",20,"2-08",303.6,394.236864725483
"21",21,"2-09",289.9,781
"22",22,"2-10",421.6,1112
"23",23,"2-11",264.5,386
"24",24,"2-12",342.3,898
"25",25,"3-01",339.7,645
"26",26,"3-02",440.4,1078
"27",27,"3-03",315.9,561
"28",28,"3-04",439.3,1119
"29",29,"3-05",401.3,793
"30",30,"3-06",437.4,842
"31",31,"3-07",575.5,1171
"32",32,"3-08",407.6,1070
"33",33,"3-09",682,1611
"34",34,"3-10",475.3,1065
"35",35,"3-11",581.3,1147
"36",36,"3-12",646.9,1319
