"subject" "tmt" "time" "response" "sub" "timez" "subn" "tmtn"
1 "CONT" 1 85 "CONT/1" 0 1 1
1 "CONT" 2 85 "CONT/1" 1 1 1
1 "CONT" 3 86 "CONT/1" 2 1 1
1 "CONT" 4 85 "CONT/1" 3 1 1
1 "CONT" 5 87 "CONT/1" 4 1 1
1 "CONT" 6 86 "CONT/1" 5 1 1
1 "CONT" 7 87 "CONT/1" 6 1 1
10 "CONT" 1 79 "CONT/10" 0 2 1
10 "CONT" 2 79 "CONT/10" 1 2 1
10 "CONT" 3 79 "CONT/10" 2 2 1
10 "CONT" 4 79 "CONT/10" 3 2 1
10 "CONT" 5 77 "CONT/10" 4 2 1
10 "CONT" 6 78 "CONT/10" 5 2 1
10 "CONT" 7 79 "CONT/10" 6 2 1
11 "CONT" 1 81 "CONT/11" 0 3 1
11 "CONT" 2 81 "CONT/11" 1 3 1
11 "CONT" 3 80 "CONT/11" 2 3 1
11 "CONT" 4 80 "CONT/11" 3 3 1
11 "CONT" 5 80 "CONT/11" 4 3 1
11 "CONT" 6 81 "CONT/11" 5 3 1
11 "CONT" 7 82 "CONT/11" 6 3 1
12 "CONT" 1 77 "CONT/12" 0 4 1
12 "CONT" 2 76 "CONT/12" 1 4 1
12 "CONT" 3 77 "CONT/12" 2 4 1
12 "CONT" 4 78 "CONT/12" 3 4 1
12 "CONT" 5 77 "CONT/12" 4 4 1
12 "CONT" 6 77 "CONT/12" 5 4 1
12 "CONT" 7 77 "CONT/12" 6 4 1
13 "CONT" 1 82 "CONT/13" 0 5 1
13 "CONT" 2 83 "CONT/13" 1 5 1
13 "CONT" 3 83 "CONT/13" 2 5 1
13 "CONT" 4 83 "CONT/13" 3 5 1
13 "CONT" 5 84 "CONT/13" 4 5 1
13 "CONT" 6 83 "CONT/13" 5 5 1
13 "CONT" 7 83 "CONT/13" 6 5 1
14 "CONT" 1 84 "CONT/14" 0 6 1
14 "CONT" 2 84 "CONT/14" 1 6 1
14 "CONT" 3 83 "CONT/14" 2 6 1
14 "CONT" 4 82 "CONT/14" 3 6 1
14 "CONT" 5 81 "CONT/14" 4 6 1
14 "CONT" 6 79 "CONT/14" 5 6 1
14 "CONT" 7 78 "CONT/14" 6 6 1
15 "CONT" 1 79 "CONT/15" 0 7 1
15 "CONT" 2 81 "CONT/15" 1 7 1
15 "CONT" 3 81 "CONT/15" 2 7 1
15 "CONT" 4 82 "CONT/15" 3 7 1
15 "CONT" 5 82 "CONT/15" 4 7 1
15 "CONT" 6 82 "CONT/15" 5 7 1
15 "CONT" 7 80 "CONT/15" 6 7 1
16 "CONT" 1 79 "CONT/16" 0 8 1
16 "CONT" 2 79 "CONT/16" 1 8 1
16 "CONT" 3 78 "CONT/16" 2 8 1
16 "CONT" 4 77 "CONT/16" 3 8 1
16 "CONT" 5 77 "CONT/16" 4 8 1
16 "CONT" 6 78 "CONT/16" 5 8 1
16 "CONT" 7 78 "CONT/16" 6 8 1
17 "CONT" 1 83 "CONT/17" 0 9 1
17 "CONT" 2 82 "CONT/17" 1 9 1
17 "CONT" 3 83 "CONT/17" 2 9 1
17 "CONT" 4 85 "CONT/17" 3 9 1
17 "CONT" 5 84 "CONT/17" 4 9 1
17 "CONT" 6 83 "CONT/17" 5 9 1
17 "CONT" 7 82 "CONT/17" 6 9 1
18 "CONT" 1 78 "CONT/18" 0 10 1
18 "CONT" 2 78 "CONT/18" 1 10 1
18 "CONT" 3 79 "CONT/18" 2 10 1
18 "CONT" 4 79 "CONT/18" 3 10 1
18 "CONT" 5 78 "CONT/18" 4 10 1
18 "CONT" 6 77 "CONT/18" 5 10 1
18 "CONT" 7 77 "CONT/18" 6 10 1
19 "CONT" 1 80 "CONT/19" 0 11 1
19 "CONT" 2 80 "CONT/19" 1 11 1
19 "CONT" 3 79 "CONT/19" 2 11 1
19 "CONT" 4 79 "CONT/19" 3 11 1
19 "CONT" 5 80 "CONT/19" 4 11 1
19 "CONT" 6 80 "CONT/19" 5 11 1
19 "CONT" 7 80 "CONT/19" 6 11 1
2 "CONT" 1 80 "CONT/2" 0 12 1
2 "CONT" 2 79 "CONT/2" 1 12 1
2 "CONT" 3 79 "CONT/2" 2 12 1
2 "CONT" 4 78 "CONT/2" 3 12 1
2 "CONT" 5 78 "CONT/2" 4 12 1
2 "CONT" 6 79 "CONT/2" 5 12 1
2 "CONT" 7 78 "CONT/2" 6 12 1
20 "CONT" 1 78 "CONT/20" 0 13 1
20 "CONT" 2 79 "CONT/20" 1 13 1
20 "CONT" 3 80 "CONT/20" 2 13 1
20 "CONT" 4 81 "CONT/20" 3 13 1
20 "CONT" 5 80 "CONT/20" 4 13 1
20 "CONT" 6 79 "CONT/20" 5 13 1
20 "CONT" 7 80 "CONT/20" 6 13 1
3 "CONT" 1 78 "CONT/3" 0 14 1
3 "CONT" 2 77 "CONT/3" 1 14 1
3 "CONT" 3 77 "CONT/3" 2 14 1
3 "CONT" 4 77 "CONT/3" 3 14 1
3 "CONT" 5 76 "CONT/3" 4 14 1
3 "CONT" 6 76 "CONT/3" 5 14 1
3 "CONT" 7 77 "CONT/3" 6 14 1
4 "CONT" 1 84 "CONT/4" 0 15 1
4 "CONT" 2 84 "CONT/4" 1 15 1
4 "CONT" 3 85 "CONT/4" 2 15 1
4 "CONT" 4 84 "CONT/4" 3 15 1
4 "CONT" 5 83 "CONT/4" 4 15 1
4 "CONT" 6 84 "CONT/4" 5 15 1
4 "CONT" 7 85 "CONT/4" 6 15 1
5 "CONT" 1 80 "CONT/5" 0 16 1
5 "CONT" 2 81 "CONT/5" 1 16 1
5 "CONT" 3 80 "CONT/5" 2 16 1
5 "CONT" 4 80 "CONT/5" 3 16 1
5 "CONT" 5 79 "CONT/5" 4 16 1
5 "CONT" 6 79 "CONT/5" 5 16 1
5 "CONT" 7 80 "CONT/5" 6 16 1
6 "CONT" 1 76 "CONT/6" 0 17 1
6 "CONT" 2 78 "CONT/6" 1 17 1
6 "CONT" 3 77 "CONT/6" 2 17 1
6 "CONT" 4 78 "CONT/6" 3 17 1
6 "CONT" 5 78 "CONT/6" 4 17 1
6 "CONT" 6 77 "CONT/6" 5 17 1
6 "CONT" 7 74 "CONT/6" 6 17 1
7 "CONT" 1 79 "CONT/7" 0 18 1
7 "CONT" 2 79 "CONT/7" 1 18 1
7 "CONT" 3 80 "CONT/7" 2 18 1
7 "CONT" 4 79 "CONT/7" 3 18 1
7 "CONT" 5 80 "CONT/7" 4 18 1
7 "CONT" 6 79 "CONT/7" 5 18 1
7 "CONT" 7 81 "CONT/7" 6 18 1
8 "CONT" 1 76 "CONT/8" 0 19 1
8 "CONT" 2 76 "CONT/8" 1 19 1
8 "CONT" 3 76 "CONT/8" 2 19 1
8 "CONT" 4 75 "CONT/8" 3 19 1
8 "CONT" 5 75 "CONT/8" 4 19 1
8 "CONT" 6 74 "CONT/8" 5 19 1
8 "CONT" 7 74 "CONT/8" 6 19 1
9 "CONT" 1 77 "CONT/9" 0 20 1
9 "CONT" 2 78 "CONT/9" 1 20 1
9 "CONT" 3 78 "CONT/9" 2 20 1
9 "CONT" 4 80 "CONT/9" 3 20 1
9 "CONT" 5 80 "CONT/9" 4 20 1
9 "CONT" 6 81 "CONT/9" 5 20 1
9 "CONT" 7 80 "CONT/9" 6 20 1
1 "RI" 1 79 "RI/1" 0 21 2
1 "RI" 2 79 "RI/1" 1 21 2
1 "RI" 3 79 "RI/1" 2 21 2
1 "RI" 4 80 "RI/1" 3 21 2
1 "RI" 5 80 "RI/1" 4 21 2
1 "RI" 6 78 "RI/1" 5 21 2
1 "RI" 7 80 "RI/1" 6 21 2
